title,link,deadline
Vorsicht vor diesem Fake-Brief – extrem perfide Betrugsmasche geht um,https://www.watson.ch/digital/schweiz/611611156-vorsicht-vor-diesem-fake-brief-fiese-betrugsmasche-geht-um,"58   15.11.2024, 09:2615.11.2024, 19:08"
Diese neue iPhone-Funktion bringt mehr Sicherheit – und behindert Strafverfolger Entsperrmethoden werden blockiert Quellen,https://www.watson.ch/digital/apple/795850489-neue-iphone-funktion-in-ios-18-1-behindert-strafverfolger,"51   14.11.2024, 17:2014.11.2024, 17:22"
Darum belegt die Schweiz  bei digitaler Wettbewerbsfähigkeit den zweiten Platz Verschiedene Fortschritte Mehr zum Thema:,https://www.watson.ch/schweiz/technik/715130738-digitale-wettbewerbsfaehigkeit-so-gut-ist-die-schweiz,"13   14.11.2024, 06:3215.11.2024, 13:27"
Google verbannt Antiviren-Apps von Kaspersky – das solltest du wissen Wie reagiert Kaspersky? Welche Folgen hat das? Auswirkungen für Kundschaft und Unternehmen Quellen,https://www.watson.ch/digital/google/349728968-google-verbannt-antiviren-apps-von-kaspersky-das-solltest-du-wissen,"13   10.11.2024, 21:44"
Bund schlägt Alarm: Immer mehr Cyberkriminelle greifen zunächst per Telefon an Was steckt hinter den falschen Behördenanrufen? Phishing mit Schneeballsystem – was steckt dahinter? Was ist Chain-Phishing? Und Ransomware? Wann kommt die Meldepflicht für Cyberangriffe? Quellen:,https://www.watson.ch/schweiz/digital/936607928-zahl-der-betrugsversuche-durch-cyberkriminelle-steigt,"3   07.11.2024, 15:3007.11.2024, 16:53"
"Das steckt hinter den merkwürdigen Parkbussen-SMS, die Tausende Schweizer erhalten Die Polizei warnt: «Ich habe gar kein Auto»",https://www.watson.ch/digital/schweiz/825459697-schweizer-erhalten-wieder-fake-sms-mit-busseen-androhung-der-polizei,"91   04.11.2024, 17:2104.11.2024, 19:42"
Kritische Sicherheitslücke: Google Chrome schnell aktualisieren Chrome aktualisieren – so geht's Quellen,https://www.watson.ch/digital/google/663306969-kritische-sicherheitsluecke-google-chrome-schnell-aktualisieren,"6   30.10.2024, 14:55"
«OneLog» ist nach Hackerangriff weiterhin ausser Betrieb Die Paywalls sind vorübergehend deaktiviert Mehr dazu:,https://www.watson.ch/digital/schweiz/112958366-onelog-ist-nach-hackerangriff-weiterhin-ausser-betrieb,"6   28.10.2024, 15:3328.10.2024, 17:36"
Bericht: Trump-Kampagne Opfer von chinesischem Hacker-Angriff Hackerangriffe auf Kamala Harris,https://www.watson.ch/international/digital/776450238-hackerangriff-auf-us-politiker-ziel-war-donald-trump,"19   28.10.2024, 08:5928.10.2024, 14:58"
Hackergruppe soll italienische Prominenz ausspioniert haben – auch Meloni betroffen,https://www.watson.ch/international/digital/994310354-hackergruppe-in-italien-soll-giorgia-meloni-ausspioniert-haben,"0   27.10.2024, 14:0528.10.2024, 17:42"
European Researchers' Night and Researchers at Schools 2026-2027,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MSCA-2025-CITIZENS-01-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",22 October 2025
MSCA COFUND 2025,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MSCA-2025-COFUND-01-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",24 June 2025
Teaming for Excellence,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-WIDERA-2025-ACCESS-01-01-two-stage?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",10 April 2025
European City Facility – 7th Call for Applications,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9022?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",18 December 2024
SILEO Best Company Storytelling Video Contest,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9023?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",13 December 2024
Further upgrade of education function in the Tax Administration of the Republic of Serbia,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/182950PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",02 December 2024
Hack2Horizon - Dijon 3rd Hackathon 2024 ,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9121?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",09 November 2024
Third IMAGINE-B5G Open Call for Vertical Experiments,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9062?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",06 December 2024
Inno2Market – Innovate Together 2024,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8621?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",06 December 2024
Farmtopia Open Call,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9082?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",07 January 2025
Integrating vascular architecture into the EBRAINS Human Brain Atlas ,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9081?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",02 December 2024
NGI Fediversity open call (2024-12F),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9086?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",01 December 2024
NGI Zero Commons Fund (2024-12Z),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9084?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",01 December 2024
CYSSDE: Involvement of National Coordination Centers (NCCs) ,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8421?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",02 December 2024
NGI TALER open call (2024-12T),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9083?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",01 December 2024
